week_number,startup,amount_raised,sector,description,investors
2,Talentsoft ,45 M€,"HR, Education, Training, Jobbing",Talentsoft develops SaaS-based integrated talent and competency management solutions.,"['Francisco Partners', 'Bpifrance', 'Goldman Sachs']"
2,b network ,30 M€,"Logistic, Retail",b network is an event agency that developed a software designed for event planners.,"['Ring Capital', 'business angels']"
2,Monbuilding ,2 M€,"Real Estate, Construction",Monbuilding provides an application to facilitate communication between the inhabitants of the same building.,"['Naxicap Partners', 'business angels']"
2,Teambrain ,1.5 M€,"Real Estate, Construction",Teambrain (formerly Kapitaliser) has developed a search engine for companies.,['ide Capital']
2,PapyHappy ,1.5 M€,"Real Estate, Construction",PapyHappy offers seniors to help them find housing adapted to their needs.,"['BRD IT', 'BCF Croissance & Innovation', 'Bpifrance', 'Groupama Val de Loire']"
2,illiCopro ,1.5 M€,"Real Estate, Construction",illiCopro publishes a collaborative platform dedicated to the management of condominiums.,"['Samaipata', 'Kima Ventures', 'Le Studio']"
2,Virage Viager ,NC,Finance,Virage Viager offers an intergenerational savings solution.,['réfon']
3,Onepark ,15 M€,Transport,Onepark publishes a platform for parking place reservations.,"['AccorHotels', 'ADP', 'Keolis', 'business angels']"
3,Energisme ,11 M€,Energy,Energisme has designed a platform to map energy expenditures.,['business angels']
3,Sencrop ,8.7 M€,"Food, Agri-business","Sencrop is a weather station connected to a SaaS platform that measures and analyses data for farmers, winegrowers and arborists.","['Bpifrance', 'NCI Waterstart', 'Nord Capital Partenaires', 'The Yield Lab', 'Demeter', 'Breega Capital']"
3,Beendhi ,4 M€,"Food, Agri-business",beendhi specialises in vegetable-based culinary preparations..,"['Daphni', 'Triodos Organic Growth Fund', 'Spice Capital', 'Quadia']"
3,My-Serious-Game ,3 M€,"HR, Education, Training, Jobbing",My-Serious-Game designs tailor-made digital training courses.,"['Go Capital', 'Galia Gestion', 'A Plus Finance']"
3,SchoolMouv ,2.5 M€,"HR, Education, Training, Jobbing",SchoolMouv designs educational videos.,"['M Capital Partners', 'Matmum Innovation', 'Swen Capital Partners']"
3,Coinhouse ,2.4 M€,Finance,Coinhouse offers a cryptoassets exchange platform.,"['ConSensys Ventures', 'Digital Currency Group', 'BTU Protocol', 'XAnge', 'business angels']"
3,Marbotic ,2 M€,"HR, Education, Training, Jobbing",Marbotic manufactures connected educational toys.,"['Turenne capital', 'family offices']"
3,Qape ,2 M€,Finance,Qape offers an insurance comparison service based on AI and Big Data technologies.,['NC']
3,Cutii ,1.7 M€,Services to individuals,Cutti is a networking platform offering activities for the elderly.,"['Ircem Prévoyance', 'business angels']"
3,Singulart ,1.5 M€,Indoor and outdoor decoration,Singulart develops an online art gallery.,"['Bpifrance', 'business angels']"
3,Epopia ,1.5 M€,Children,Epopia is a role-playing game by postal mail for children aged 5 to 10. .,"['Capital Grand Est', 'Alsace Business Angels', 'Ader Investissements', 'IBF', 'LDE', 'Media Participations', 'business angels']"
3,Stimio ,1.3 M€,Transport,Stimio designs and markets connected objects for the railway and construction sectors.,['CM-CIC Innovation']
3,CarJager ,1.2 M€,"Tourism, Leasure",CarJager is a vintage cars marketplace.,['business angels']
3,Addworking ,1.2 M€,IT Consulting,Addworking publishes a management solution for external resources.,"['Edenred Capital Partners', 'Seed4Soft', 'Holnest Club', 'business angels']"
3,PayTrip ,1 M€,Finance,PayTrip offers a solution for transferring money between members of a same family..,['business angels']
3,MonsieurGourmand.com ,750 000€,"Food, Agri-business",MonsieurGourmand.com offers a catering service for companies.,"['Kreaxi', 'Evolem', 'Crédit Agricol Création', 'business angels']"
3,Staffman ,600 000€,IT Consulting,Staffman is a staffing platform.,['ellowork']
4,Wynd ,72 M€,"Logistic, Retail",Wynd develops a SaaS to digitize retailers' points of sale. ,"['Natixis', 'Sofina', 'BNF Capital', 'Sodexo Ventures']"
4,Schoolab ,10 M€,"HR, Education, Training, Jobbing",Schoolab is an innovation studio dedicated to training and consulting.,"['French Tech Accélération', 'business angels']"
4,Tech on Mars ,7 M€,"HR, Education, Training, Jobbing",Tech on Mars developed an e-learning mobile app.,"['Omnes', 'Région Sud Investissement']"
4,Zoov ,6 M€,Transport,Zoov offers ebike-sharing services.,"['Daphni', 'C4 Ventures', 'Road Ventures', 'BNP Paribas Développement', 'Banque des Territoires']"
4,Admo.tv ,6 M€,Marketing & Communication,Admo.tv is a TV and radio analytics platform.,"['Runa Capital', 'Entrepreneur Venture', 'Cap Décisif']"
4,Antidot ,5.5 M€,Enterprise software,Antidot created a content delivery platform.,"['Ventech', 'CM-CIC Innovation']"
4,Mooncard ,5 M€,Finance,Mooncard develops an expense management solution.,"['Raise', 'Aglae Ventures', 'business angels']"
4,Addworking ,1.2 M€,Enterprise software,Addworking delivers a SaaS solution for external workers management.,"['Edenred Capital Partners', 'Seed4Soft', 'Club Holnest']"
4,Keetiz ,650 000€,Finance,Keetiz is specialized in customer loyalty and publishes a cashback application.,"['Sofilaro', 'Bpifrance', 'business angels']"
4,Reetags ,NC,Marketing & Communication,Reetags is a social network that allows brands to increase their popularity through microinfluence.,['business angels']
4,delitoon ,NC,"Media, Culture and Entertainment",delitoon offers a platform dedicated to webtoon and digital manga.,['ne Innovation']
5,ContentSquare ,52 M€,Marketing & Communication,ContentSquare offers Web and mobile sites optimization solutions. ,"['Eurazeo Croissance', 'Canaan Partners', 'Highland CD Europe', 'H14']"
5,Zenpark ,10 M€,Transport,Zenpark offers parking spaces sharing services. ,"['EDF', 'RATP Capital Innovation', 'Demeter', 'Maif Avenir', 'Nestadio Capital', 'A-venture']"
5,Diota ,7 M€,Enterprise software,Diota provides Augmented Reality software solutions to digitize and optimize industrial processes.,"['CM-CIC', 'Safran Corporate Ventures', 'Supernova Invest', 'Calao Finance', 'Bpifrance']"
5,TheraPanacea ,3.5 M€,"Health, Beauty",TheraPanacea specializes in machine learning and AI applied to personalized medicine. ,['Therinvest']
5,LeCiseau ,3.2 M€,"Health, Beauty",LeCiseau has developed an online booking platform for hairdressers. ,"['Matmut Innovation', '123 IM', 'UL Invest']"
5,Tracktor ,3 M€,"Real Estate, Construction",Tracktor operates an online construction equipment and vehicles rental platform.,"['Kerala Ventures', 'BTP Capital Investissement', 'Kima Ventures', 'business angels']"
5,SiRFULL Technology ,2 M€,Enterprise Software,SiRFULL Technology is specialized in the digital transformation of the process industry. ,"['Wille Finance AG', 'Demeter', 'SCR Alsace Création']"
5,Ovrsea ,1.9 M€,Transport,Ovrsea offers a web interface to automate the administrative tasks of freight transport. ,"['Bpifrance', 'Kima Ventures', 'business angels']"
5,Tridimeo ,1.3 M€,Enterprise Software,Tridimeo designs and manufactures industrial 3D cameras dedicated to inspection and robotic guidance. ,"['Sofimac Investment Managers', 'CEA Investissement']"
5,Potion Social ,1 M€,Marketing & Communication,Potion Social (ex-Creseo) publishes a solution for the creation and management of communities for retailers.,"['Finorpa SCR', 'Nord France Amorçage']"
5,Kalkin ,500 000€,"Tourism, Leisure",Kalkin develops 3D mapping solutions for the tourism and sports industries. ,"['Sofimac Investment Managers', 'Crédit Agricole Centre France']"
5,Pic&Pick ,150 000€,"Media, Culture and Entertainment",Pic&Pick is an image bank based on Instagram. ,['business angels']
6,Lunchr ,30 M€,"Food, Agri-business","Lunchr provides corporate lunch solutions (group ordering, couponing, payment app). ","['Index Ventures', 'Kima Ventures', 'Daphni', 'Idinvest']"
6,Wizbii ,12.5 M€,"HR, Education, Training, Jobbing",Wizbii publishes a professional social network for young people.,"['Oddo BHF', 'Caphorn Invest', 'Sigma Gestion', 'Matmut Innovation', 'Alliance Entreprendre']"
6,Dolmen ,9 M€,Marketing & Communication,Dolmen is a local customer marketing platform used by points of sale.,"['Mediapost', 'Salesforce Ventures\xa0']"
6,Pretto ,8 M€,Finance,Pretto offers an online real estate loan brokerage platform. ,"['Kernel', 'Blackfin', 'Alven']"
6,Deepomatic ,5.5 M€,Enterprise software,Deepomatic designs an AI image recognition platform.,"['Hi Inov', 'Alven', 'business angels']"
6,Chefing ,4 M€,"Food, Agri-business",Chefing is a catering network for professional events.,"['Financière Saint-James', 'business angels']"
6,Testamento ,3 M€,Services to individuals,Testamento offers a will management solution.,"['La France Mutualiste', 'Allianz', 'Malakoff Médéric']"
6,Lavoir Moderne ,2 M€,Services to individuals,Lavoir Moderne develops an online laundry solution.,['business angels']
6,Convelio ,1.85 M€,Transport,Convelio offers an online art shipping solution.,"['Global Founders Capital', 'business angels']"
6,OurCo ,1.6 M€,Enterprise software,OurCo develops a B2B collaborative app that aiming to free up speech at work.,['business angels']
